Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance in kilometers,Filename,Moving Time,Max Speed,Average Speed,Total Steps,Media
15087661689,"Jul 12, 2025, 9:55:34 AM",Run/walk in Berlin!,Run,2465,3.92,activities/15087661689.gpx,1876,4.46,2.09,3718,media/CE3775B4-7CB0-45B9-8FAA-2381E9244381.mp4|media/0389BF09-A495-4CEC-AF2A-864315AB0453.jpg
15169534927,"Jul 19, 2025, 7:32:29 PM",Back home run!,Run,2999,4.37,activities/15169534927.gpx,1485,4.6,2.947,3450,media/4015AB8F-77C4-4984-90DC-CFFB6264F753.mp4
15180836236,"Jul 20, 2025, 7:55:42 PM",Run from home to lunch,Run,1372,3.71,activities/15180836236.gpx,1312,4.76,2.833,3334,
15202244274,"Jul 22, 2025, 7:36:29 PM",Home to BHTC,Run,1099,2.84,activities/15202244274.gpx,1098,4.95,2.592,2686,
15234042898,"Jul 25, 2025, 5:36:12 PM",Morning run,Run,1317,3.23,activities/15234042898.gpx,1312,4.04,2.465,2966,
15246923350,"Jul 26, 2025, 10:31:57 PM",After run/walk w Jdub,Run,2099,4.19,activities/15246923350.gpx,2082,5.21,2.014,4310,
15371457500,"Aug 7, 2025, 12:38:55 AM",Run w some walks,Run,2098,4.85,activities/15371457500.gpx,2063,4.58,2.353,4452,media/C35626BD-4BFA-4FBD-ADCD-3E46E57D65B0.mp4
15392987508,"Aug 8, 2025, 11:42:11 PM",Run from home to tennis club,Run,1138,2.86,activities/15392987508.gpx,1029,4.26,2.784,2578,media/775B7A11-387A-489F-897E-C4BAB80A04B2.mp4
15422297901,"Aug 11, 2025, 2:48:21 PM",Morning run/walk in Horseshoe !!!,Run,3212,6.43,activities/15422297901.gpx,3137,4.14,2.052,6686,media/8F52DCB9-998B-41A3-BE84-42F672B60431.jpg|media/7C3DC949-5D2E-4366-92B0-93D17380AA5D.mp4
15434186018,"Aug 12, 2025, 3:13:43 PM",Morning jog in Horseshoe,Run,1551,3.22,activities/15434186018.gpx,1505,3.72,2.145,3238,media/6132E452-E3C0-4A09-99D9-05316096CDE9.jpg
15502638847,"Aug 18, 2025, 4:25:00 PM",First run/walk back in NOLA #Audubon,Run,1612,3.34,activities/15502638847.gpx,1587,4.06,2.107,3428,media/60988621-F984-4ED2-A738-59CD9198FA8B.jpg
15583598607,"Aug 25, 2025, 5:27:31 PM",Midday walk,Run,1762,3.42,activities/15583598607.gpx,1744,3.7,1.961,3614,
15687427734,"Sep 3, 2025, 8:03:23 PM",Audubon Afternoon Run,Run,1360,3.23,activities/15687427734.gpx,1350,9,2.395,3092,
15744574035,"Sep 8, 2025, 8:35:22 PM",Audubon afternoon run,Run,1181,2.83,activities/15744574035.gpx,1178,3.4,2.41,2690,
15823959123,"Sep 15, 2025, 9:06:39 PM",Afternoon walk,Walk,1681,3.22,activities/15823959123.gpx,1658,3.52,1.945,3520,
15836277431,"Sep 16, 2025, 9:58:54 PM",Afternoon run,Run,1638,3.61,activities/15836277431.gpx,1411,3.78,2.561,3426,
15857620699,"Sep 18, 2025, 6:30:21 PM",Afternoon walk,Walk,2276,3.51,activities/15857620699.gpx,2203,2.4,1.594,4252,
15903416691,"Sep 22, 2025, 10:21:49 PM",Walk,Walk,695,1.36,activities/15903416691.gpx,677,9.607,2.013,1712,
15923926582,"Sep 24, 2025, 5:19:47 PM",Walk w grace,Walk,1967,3.29,activities/15923926582.gpx,1967,2.6,1.673,3986,media/B6478071-5F1B-4B09-BD14-8F0018158950.jpg
15978581820,"Sep 29, 2025, 6:05:34 PM",Audubon,Walk,1557,3.3,activities/15978581820.gpx,1557,3.5,2.119,3446,
16021604225,"Oct 3, 2025, 3:06:24 PM",Family walk,Walk,3548,6.11,activities/16021604225.gpx,3454,3.2,1.77,7146,media/855346B0-1D30-45FE-A8C9-6A6DD2032002.mp4
16031864196,"Oct 4, 2025, 2:38:48 PM",Fam walk,Walk,2991,5.09,activities/16031864196.gpx,2630,14.3,1.939,5602,media/38B17AE5-2BF5-4623-B4D3-09A2C31EEDE9.mp4
16032382016,"Oct 4, 2025, 3:42:12 PM",Post matcha walk,Walk,1907,3.27,activities/16032382016.gpx,1892,2.84,1.731,3846,
16068717316,"Oct 7, 2025, 10:28:29 PM",Tuesday Afternoon Run with Runna ✅,Run,1827,3.69,activities/17151327770.fit.gz,1708,2.988,2.165,,
16078790179,"Oct 8, 2025, 7:36:48 PM",Afternoon walk,Walk,2303,4.07,activities/16078790179.gpx,2303,4.3,1.767,4798,
16090415845,"Oct 9, 2025, 10:04:44 PM",Walk w grace,Walk,3080,4.82,activities/16090415845.gpx,2906,2.74,1.659,5854,
16122352240,"Oct 12, 2025, 10:39:34 PM",Evening walk,Walk,2035,3.68,activities/16122352240.gpx,2017,3.86,1.827,4012,
16131380549,"Oct 13, 2025, 8:59:58 PM",Afternoon run,Run,1222,3.22,activities/16131380549.gpx,1222,3.48,2.64,3038,
16141860631,"Oct 14, 2025, 7:46:30 PM",Afternoon run,Run,1229,3.22,activities/16141860631.gpx,1229,3.54,2.624,3124,
16149224466,"Oct 15, 2025, 1:38:30 PM",Morning walk,Run,1717,3.39,activities/16149224466.gpx,1636,3.08,2.072,3674,
16175102236,"Oct 18, 2025, 12:27:34 AM",Evening run,Run,1613,4.4,activities/16175102236.gpx,1561,3.86,2.821,3914,
16353380468,"Nov 4, 2025, 3:40:36 PM",Morning walk,Run,1354,2.79,activities/16353380468.gpx,1354,3.54,2.061,3016,
